project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,disease_name,phenotype_a,phenotype_a_mesh_id,phenotype_b,negative_enriched_in,positive_enriched_in,effect_type,lda_score,association_url,citation
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Alistipes putredinis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-4.441,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Alistipes onderdonkii,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-4.191,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Phocaeicola massiliensis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-4.140,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Candidatus Cibionibacter quicibialis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-4.095,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Waltera acetigignens,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.937,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Alistipes finegoldii,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.837,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Bacteroides cellulosilyticus,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.821,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Coprococcus eutactus,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.667,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Pseudoruminococcus massiliensis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.654,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Vescimonas coprocola,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.616,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Parabacteroides johnsonii,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.511,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Hominenteromicrobium mulieris,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.500,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Faecalibacterium wellingii,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.478,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Oscillibacter sp. MSJ-31,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.270,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Collinsella aerofaciens,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.252,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Alistipes ihumii,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-2.972,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Desulfovibrio piger,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-2.835,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Clostridiaceae bacterium AF18-31LB,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-2.768,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Roseburia zhanili,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-2.092,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Anaerotignum lactatifermentans,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-2.081,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Sellimonas intestinalis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,2.412,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Massilimicrobiota timonensis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,2.561,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Candidatus Borkfalkia ceftriaxoniphila,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,2.604,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Clostridium saudiense,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,2.802,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,[Clostridium] scindens,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,2.879,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Clostridium sp. AT4,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,2.966,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Veillonella dispar,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,2.984,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,[Clostridium] symbiosum,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,3.067,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Enterocloster clostridioformis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,3.073,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Escherichia coli,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,3.425,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Dialister invisus,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,3.670,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Mediterraneibacter gnavus,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,3.680,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Akkermansia muciniphila,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,3.727,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Bacteroides ovatus,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,4.164,https://gmrepo.humangut.info/data/project/PRJNA705217,

